UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage,PUI,LUI,EUI,EAL
12.41,20.0,16.31,14.87,100.0,0.6571,6600000,42.35,817,3885,6.73,231100,66870,44.83,2022,6341255.05525066,779.85,483.523011556156,4.01455018543,14.8778622104166,17.2054121783,5549.0,121115.0,96.88,0.6571,0.011662180349932705,0.5765,4.01455018543
29.13,45.0,11.96,11.18,100.0,0.4424,12380000,47.53,779,2202,86.78,231200,34905,33.67,2022,12746569.7859471,1898.94,416.62004668322,10.1358711231,96.789084103325,27.3490188103,10629.0,635.0,99.49,0.4424,0.054403094112591324,0.5246999999999999,10.1358711231
2475.89,1242.0,5.0,9.28,98.44,0.893,446530000,0.22,35360,5256,90.29,310000,8059,38.1,2022,196101244.450436,2660.0,554.412232854192,46.7962198022,2636.69475392104,23.8486439184,3862500.0,0.0,0.0,0.893,0.3300657649832485,0.9978,46.7962198022
657.31,885.73,26.4,16.2,100.0,0.8701,169080000,1.87,10463,20743,88.88,320100,6586,45.0,2022,113139004.485042,1496.54,450.395852068913,37.4964323668,934.616591185242,30.5746135212,1120440.0,1944932.0,98.54,0.8701,0.22723048891588216,0.9813,37.4964323668
249.96,359.72,26.28,15.2,100.0,0.8199,148510000,0.9,18946,7328,98.5,320200,4625,43.96,2022,56767334.9924214,1322.53,490.388638458316,44.8916151056,1076.1445437141,29.7804940948,628900.0,295399.0,97.81,0.8199,0.2859524324324324,0.991,44.8916151056
197.48,292.98,22.51,17.57,100.0,0.668,84580000,9.13,3151,7049,98.21,320300,11146,44.59,2022,136044495.435872,3003.47,430.358031833833,24.021629869,572.972899728997,39.7163388384,220025.0,1209795.0,94.73,0.668,0.26946617620671093,0.9087,24.021629869
184.78,278.74,24.45,15.58,100.0,0.7801,95500000,1.8,11710,18452,100.05,320400,4371,44.8,2022,69839936.6820896,959.77,475.518500698434,38.7130075705,812.240267335004,31.7538486538,409414.0,129142.0,93.13,0.7801,0.21957675589110043,0.982,38.7130075705
310.66,481.33,23.31,14.83,100.0,0.8212,239580000,0.81,35322,12838,94.71,320500,8664,43.8,2022,187685577.834528,2343.68,474.865811734086,46.5237874754,964.277846099789,27.1880290095,2310670.0,-3360151.0,93.8,0.8212,0.2705078485687904,0.9919,46.5237874754
149.92,304.02,28.16,18.59,100.0,0.7179,113800000,4.48,14344,2929,95.7,320600,9484,43.66,2022,45916770.5850722,1505.41,591.180991853651,30.4164973588,621.985630096068,24.930353234,528337.0,780309.0,95.61,0.7179,0.15873154787009702,0.9552,30.4164973588
95.11,225.38,26.6,15.8,100.0,0.6308,40050000,10.59,3473,6654,95.43,320700,7450,43.0,2022,51944688.6572786,1685.5,496.428145650093,24.2877887789,442.906386618514,33.01520718,100309.0,8500.0,97.56,0.6308,0.22624161073825502,0.8941,24.2877887789
