UrbanPopulation,Surface_Area_of_Built_District,Road_Surface_Area_Per_Capita_m2,Parkland_per_capita,Rate_of_non_hazardous_treatment_of_domestic_waste(%),Population_urbanization,GDP,First_sector_of_GDP,Industrial_wastewater_discharge_(tonnes),Industrial_fume_emissions_(tonnes),Comprehensive_industrial_solid_waste_utilisation_rate(%),Citycode,Area_of_administrative_districts,Greening_coverage_in_builtup_areas,Year,CO2,ISA,NPP,NTL,PD,pm2.5,Science_expend,SO2_REMOVE,Sewage
36.2,83.0,44.53,13.31,79.62,0.478,12144000,17.63,5755,43899,96.56,341100,13518,40.54,2014,17516935.9056765,1448.05,549.704683066389,5.0470056999,214.301275865766,69.008201351,46685.0,4482.0,96.24
72.44,111.68,23.73,12.26,67.01,0.375,11889663,23.3,2640,16070,99.79,341200,10118,33.88,2014,20287410.203113,1617.69,490.074038257494,4.96519331553,551.891951410102,78.8142799867,16927.0,31156.0,86.78
44.53,71.81,27.06,12.39,67.56,0.374,11405288,22.77,4029,27087,65.71,341300,9941,43.97,2014,16732347.5357635,1644.64,519.160634102413,5.24413570925,392.792328610276,75.0487756867,22436.0,23928.0,85.95
38.3,72.3,21.16,14.23,85.6,0.414,10958100,19.64,2740,35888,73.5,341500,15453,39.15,2014,20264432.9340415,836.33,540.463223853061,2.29626507587,221.814208938337,62.1020118254,31524.0,-13303.0,90.1
34.01,54.0,39.82,11.52,96.18,0.357,8836299,22.01,2755,11663,99.45,341600,8524,36.31,2014,6612769.8462847,1357.16,491.42508814852,3.75651255574,411.175957018133,78.8820838429,14418.0,4371.0,94.48
27.12,36.93,25.09,17.08,100.0,0.501,5171690,13.26,2648,16098,85.22,341700,8368,42.22,2014,17101801.6388204,202.17,659.983485957316,1.52792664047,124.362752033958,52.0297675953,17075.0,-110333.0,92.24
23.7,50.0,27.37,13.23,83.18,0.493,9176300,12.85,3893,45950,85.18,341800,12313,41.28,2014,13019424.4070479,356.11,679.148024401448,2.61077747119,154.240636592078,54.3167079786,76879.0,15119.0,95.15
194.24,253.8,11.06,12.94,99.49,0.6694,51691647,8.05,4681,105712,95.97,350100,11697,42.89,2014,53742454.1902282,772.95,849.402310798039,13.0623416946,483.092303552207,35.6016179113,93278.0,193532.0,93.6
165.59,301.0,12.29,11.44,99.9,0.888,32735772,0.72,27380,4561,97.95,350200,1580,41.87,2014,11418806.8037368,343.56,922.17674230146,39.0907543959,1791.3946301925,38.5999260262,173878.0,-48900.0,88.01
47.6,57.6,14.88,12.72,98.1,0.553,15020721,7.31,2633,5232,92.6,350300,3910,45.12,2014,10595180.5934969,345.43,990.2785448752,15.9653136531,566.897810218978,35.1955595903,35031.0,83346.0,87.0
21.18,35.87,15.79,13.71,98.0,0.551,16212064,15.1,12091,73165,90.23,350400,22964,43.78,2014,29231977.2914399,206.92,683.571122560377,1.52844324419,85.2250685572871,39.0955153102,39532.0,-11792.0,85.0
95.77,197.6,15.65,14.0,98.4,0.629,57333576,3.01,19258,68355,97.64,350500,11194,41.94,2014,20294582.3422946,955.55,914.143826460217,16.6285313213,580.725481978206,36.1842272209,105743.0,205581.0,87.7
40.1,62.27,23.2,14.2,97.52,0.538,25063612,13.98,23963,23009,98.17,350600,12621,42.74,2014,39172362.1345481,577.29,1014.80736378533,9.19649561952,301.930903663163,38.2179246993,44054.0,4185.0,85.0
19.55,30.0,12.03,13.64,93.28,0.534,12325593,22.04,7216,15370,59.13,350700,26288,43.83,2014,15843610.5964341,201.74,684.092985795197,1.27958911927,77.7166194413925,40.6326482116,19173.0,-12353.0,85.0
32.15,50.0,14.33,12.22,99.19,0.516,16212107,11.58,3315,38573,99.1,350800,19026,41.5,2014,34961638.8199234,232.1,926.166726711267,2.11751406488,105.707243787559,37.4818189374,48170.0,47916.0,89.51
18.22,26.7,16.07,15.45,92.52,0.529,13760938,17.31,1497,13524,95.84,350900,13049,42.0,2014,19946025.5019605,171.31,859.262595475554,3.3570688379,163.326148409894,36.5316957489,12963.0,180454.0,83.4
227.46,262.0,11.09,12.04,100.0,0.7086,36679635,4.44,8656,29435,95.91,360100,7189,42.09,2014,24124559.4930772,699.75,501.158749421505,7.56067758956,537.005534092096,54.3789342307,79045.0,208614.0,91.0
48.68,78.68,16.21,14.81,100.0,0.6228,7382137,7.48,6852,15578,98.72,360200,5261,51.44,2014,5908826.99867084,183.92,622.983914019133,2.25366596839,229.152414772727,50.8839074087,11391.0,5669.0,74.0
